i_subj_all,i_subj_curr,olife_total,i_onset,i_ori,i_trial,contrast,correct
0,0,50,0,0,167,0.0031518630233299998,0
0,0,50,0,0,168,0.0064272164011800002,0
0,0,50,0,0,169,0.016619975241699999,1
0,0,50,0,0,170,0.015661826438200001,1
0,0,50,0,0,171,0.0097395453011299999,0
0,0,50,0,0,172,0.0176367410356,1
0,0,50,0,0,173,0.0105419908785,0
0,0,50,0,0,174,0.01475891533,0
0,0,50,0,0,175,0.0194714494187,1
0,0,50,0,0,176,0.020662660803800002,1
0,0,50,0,0,177,0.0179893025785,1
0,0,50,0,0,178,0.01475891533,1
0,0,50,0,0,179,0.0121086173724,1
0,0,50,0,0,180,0.016619975241699999,0
0,0,50,0,0,181,0.019860687103499999,1
0,0,50,0,0,182,0.0088218311121600005,0
0,0,50,0,0,183,0.0128493903144,1
0,0,50,0,0,184,0.019089840169700001,0
0,0,50,0,0,185,0.0121086173724,1
0,0,50,0,0,186,0.0091780562771299999,1
0,0,50,0,0,187,0.0084794320084199994,0
0,0,50,0,0,188,0.022812148450999999,1
0,0,50,0,0,189,0.0118713078489,0
0,0,50,0,0,190,0.021497018167899999,1
0,0,50,0,0,191,0.020257705717800001,1
0,0,50,0,0,192,0.0179893025785,1
0,0,50,0,0,193,0.0141860819446,0
0,0,50,0,0,194,0.0187157098512,1
0,0,50,0,0,195,0.0172910891349,0
0,0,50,0,0,196,0.015053948632900001,0
0,0,50,0,0,197,0.0187157098512,1
0,0,50,0,0,198,0.0179893025785,1
0,0,50,0,0,199,0.0179893025785,1
0,0,50,0,0,200,0.024691651761300001,1
0,0,50,0,0,201,0.0176367410356,1
0,0,50,0,0,202,0.022365066846900001,1
0,0,50,0,0,203,0.0144696642078,0
0,0,50,0,0,204,0.0176367410356,1
0,0,50,0,0,205,0.0176367410356,1
0,0,50,0,0,206,0.020662660803800002,1
0,0,50,0,0,207,0.0172910891349,1
0,0,50,0,0,208,0.0172910891349,1
0,0,50,0,0,209,0.016952211458200001,1
0,0,50,0,0,210,0.015053948632900001,0
0,0,50,0,0,211,0.0159749090922,1
0,0,50,0,0,212,0.016952211458200001,1
0,0,50,0,0,213,0.015661826438200001,1
0,0,50,0,0,214,0.0153548797031,0
0,0,50,0,0,215,0.021497018167899999,1
0,0,50,0,0,216,0.020662660803800002,1
0,0,50,0,0,217,0.0123506707548,0
0,0,50,0,0,218,0.016952211458200001,1
0,0,50,0,0,219,0.020257705717800001,1
0,0,50,0,0,220,0.0121086173724,1
0,0,50,0,0,221,0.016619975241699999,0
0,0,50,0,0,222,0.0172910891349,1
0,0,50,0,0,223,0.0172910891349,1
0,0,50,0,0,224,0.010335384727299999,0
0,0,50,0,0,225,0.016952211458200001,1
0,0,50,0,0,226,0.0187157098512,1
0,0,50,0,0,227,0.0133682481486,1
0,0,50,0,0,228,0.010132827726,1
0,0,50,0,0,229,0.016952211458200001,1
0,0,50,0,0,230,0.0091780562771299999,0
0,0,50,0,0,231,0.0179893025785,1
0,0,50,0,0,232,0.0136354817709,0
0,0,50,0,0,233,0.015053948632900001,0
0,0,50,0,0,234,0.0187157098512,1
0,0,50,0,0,235,0.0114105503128,1
0,0,50,0,0,236,0.010132827726,0
0,0,50,0,0,237,0.016952211458200001,1
0,0,50,0,0,238,0.016619975241699999,1
0,0,50,0,0,239,0.016619975241699999,1
0,0,50,0,1,0,0.033226911242099998,1
0,0,50,0,1,1,0.033226911242099998,0
0,0,50,0,1,2,0.0109676760216,0
0,0,50,0,1,3,0.045606399576499999,1
0,0,50,0,1,4,0.165106831451,1
0,0,50,0,1,5,0.0232681672947,0
0,0,50,0,1,6,0.0555885919223,1
0,0,50,0,1,7,0.092999663115800005,1
0,0,50,0,1,8,0.060168561352000001,1
0,0,50,0,1,9,0.036683428093900003,0
0,0,50,0,1,10,0.071900767185400005,1
0,0,50,0,1,11,0.042134887026200003,1
0,0,50,0,1,12,0.0219267473268,0
0,0,50,0,1,13,0.048396477563900003,1
0,0,50,0,1,14,0.052383885413,1
0,0,50,0,1,15,0.042134887026200003,1
0,0,50,0,1,16,0.041309110667700003,0
0,0,50,0,1,17,0.030096086654400001,1
0,0,50,0,1,18,0.060168561352000001,1
0,0,50,0,1,19,0.052383885413,1
0,0,50,0,1,20,0.027260265791899999,1
0,0,50,0,1,21,0.045606399576499999,1
0,0,50,0,1,22,0.035964491606600001,1
0,0,50,0,1,23,0.0172910891349,0
0,0,50,0,1,24,0.033891123018399999,0
0,0,50,0,1,25,0.030096086654400001,1
0,0,50,0,1,26,0.0283610341648,0
0,0,50,0,1,27,0.035259645123999997,1
0,0,50,0,1,28,0.031937285031400003,0
0,0,50,0,1,29,0.040499518204200002,1
0,0,50,0,1,30,0.045606399576499999,1
0,0,50,0,1,31,0.037416736247499999,1
0,0,50,0,1,32,0.038927622465300002,1
0,0,50,0,1,33,0.034568612504399999,1
0,0,50,0,1,34,0.029506251517700002,0
0,0,50,0,1,35,0.030697712698699999,1
0,0,50,0,1,36,0.038927622465300002,1
0,0,50,0,1,37,0.037416736247499999,1
0,0,50,0,1,38,0.0289279762059,1
0,0,50,0,1,39,0.027260265791899999,1
0,0,50,0,1,40,0.035964491606600001,1
0,0,50,0,1,41,0.020662660803800002,1
0,0,50,0,1,42,0.019089840169700001,1
0,0,50,0,1,43,0.0176367410356,1
0,0,50,0,1,44,0.029506251517700002,1
0,0,50,0,1,45,0.027260265791899999,1
